,code,name,network,elevation_m,site_property,geometry,X,Y
SNOTEL:1144_MT_SNTL,1144_MT_SNTL,Blacktail Mtn,SNOTEL,1722,"{'county': 'Flathead', 'state': 'Montana', 'site_comments': 'beginDate=8/25/2010 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102080302|HUD=17010208|TimeZone=-8.0|actonId=14B04S|shefId=BLTM8|stationTriplet=1144:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (238026.0275407086 426013.5451000986),238026.0275407086,426013.5451000986
SNOTEL:355_MT_SNTL,355_MT_SNTL,Bloody Dick,SNOTEL,2316,"{'county': 'Beaverhead', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200011002|HUD=10020001|TimeZone=-8.0|actonId=13D10S|shefId=BLOM8|stationTriplet=355:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (285608.2508456899 109739.7534119478),285608.2508456899,109739.7534119478
SNOTEL:360_MT_SNTL,360_MT_SNTL,Boulder Mountain,SNOTEL,2423,"{'county': 'Meagher', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100301030501|HUD=10030103|TimeZone=-8.0|actonId=11C01S|shefId=BOMM8|stationTriplet=360:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (462857.18719323276 258215.8751882091),462857.18719323276,258215.8751882091
SNOTEL:363_MT_SNTL,363_MT_SNTL,Box Canyon,SNOTEL,2033,"{'county': 'Park', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700020902|HUD=10070002|TimeZone=-8.0|actonId=10D31S|shefId=BOXM8|stationTriplet=363:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (541231.1138104585 113860.50266474688),541231.1138104585,113860.50266474688
SNOTEL:365_MT_SNTL,365_MT_SNTL,Brackett Creek,SNOTEL,2231,"{'county': 'Gallatin', 'state': 'Montana', 'site_comments': 'beginDate=8/1/1992 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700030403|HUD=10020008|TimeZone=-8.0|actonId=10D35S|shefId=BRCM8|stationTriplet=365:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (488402.95291389566 183400.65985126272),488402.95291389566,183400.65985126272
SNOTEL:252_MT_SNTL,252_MT_SNTL,BRIDGER BOWL,SNOTEL,2209,"{'county': 'Gallatin', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1965 12:00:00 AM|endDate=10/1/1997 12:00:00 AM|HUC=100200080801|HUD=10020008|TimeZone=-8.0|actonId=|shefId=|stationTriplet=252:MT:SNTL|isActive=False', 'pos_accuracy_m': '0'}",POINT (489913.7151562774 173253.00284154815),489913.7151562774,173253.00284154815
SNOTEL:981_MT_SNTL,981_MT_SNTL,Burnt Mtn,SNOTEL,1792,"{'county': 'Carbon', 'state': 'Montana', 'site_comments': 'beginDate=9/30/2000 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700060802|HUD=10070006|TimeZone=-8.0|actonId=09D21S|shefId=BMTM8|stationTriplet=981:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (603170.8659243197 110046.75001439446),603170.8659243197,110046.75001439446
SNOTEL:381_MT_SNTL,381_MT_SNTL,Calvert Creek,SNOTEL,1959,"{'county': 'Deer Lodge', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1974 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200040801|HUD=10020004|TimeZone=-8.0|actonId=13D26S|shefId=CLVM8|stationTriplet=381:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (303283.3684237827 188815.47948754727),303283.3684237827,188815.47948754727
SNOTEL:385_MT_SNTL,385_MT_SNTL,Carrot Basin,SNOTEL,2743,"{'county': 'Gallatin', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1966 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200080105|HUD=10020008|TimeZone=-8.0|actonId=11E29S|shefId=CRRM8|stationTriplet=385:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (458461.92249650054 80753.6476225782),458461.92249650054,80753.6476225782
SNOTEL:253_MT_SNTL,253_MT_SNTL,Cashe Creek,SNOTEL,2377,"{'county': 'Park', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1966 12:00:00 AM|endDate=5/1/1992 12:00:00 AM|HUC=100200080106|HUD=10020008|TimeZone=-8.0|actonId=|shefId=CSHM8|stationTriplet=253:MT:SNTL|isActive=False', 'pos_accuracy_m': '0'}",POINT (451742.2353962903 94407.13568241874),451742.2353962903,94407.13568241874
SNOTEL:403_MT_SNTL,403_MT_SNTL,Clover Meadow,SNOTEL,2621,"{'county': 'Madison', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1971 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200070803|HUD=10020007|TimeZone=-8.0|actonId=11D08S|shefId=CMDM8|stationTriplet=403:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (415144.2899226148 88119.45912203711),415144.2899226148,88119.45912203711
SNOTEL:407_MT_SNTL,407_MT_SNTL,Cole Creek,SNOTEL,2392,"{'county': 'Carbon', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1960 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100700060801|HUD=10070006|TimeZone=-8.0|actonId=09D16S|shefId=CLCM8|stationTriplet=407:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (612140.7164000948 104940.61137061258),612140.7164000948,104940.61137061258
SNOTEL:410_MT_SNTL,410_MT_SNTL,Combination,SNOTEL,1706,"{'county': 'Granite', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1965 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102020401|HUD=17010202|TimeZone=-8.0|actonId=13C33S|shefId=CMBM8|stationTriplet=410:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (301219.595594399 253592.1531368813),301219.595594399,253592.1531368813
SNOTEL:413_MT_SNTL,413_MT_SNTL,Copper Bottom,SNOTEL,1584,"{'county': 'Lewis and Clark', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102030103|HUD=17010203|TimeZone=-8.0|actonId=12B16S|shefId=COPM8|stationTriplet=413:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (365059.989191166 316528.44244659325),365059.989191166,316528.44244659325
SNOTEL:414_MT_SNTL,414_MT_SNTL,Copper Camp,SNOTEL,2118,"{'county': 'Lewis and Clark', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102030103|HUD=17010203|TimeZone=-8.0|actonId=12B14S|shefId=CPCM8|stationTriplet=414:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (354965.4573667288 319693.7841700584),354965.4573667288,319693.7841700584
SNOTEL:427_MT_SNTL,427_MT_SNTL,Crystal Lake,SNOTEL,1844,"{'county': 'Fergus', 'state': 'Montana', 'site_comments': 'beginDate=9/1/1967 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100401030204|HUD=10040103|TimeZone=-8.0|actonId=09C01S|shefId=CRYM8|stationTriplet=427:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (599080.7256713959 282181.83409810695),599080.7256713959,282181.83409810695
SNOTEL:919_MT_SNTL,919_MT_SNTL,Daisy Peak,SNOTEL,2316,"{'county': 'Meagher', 'state': 'Montana', 'site_comments': 'beginDate=9/1/1977 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100402010106|HUD=10040201|TimeZone=-8.0|actonId=10C15S|shefId=DAZM8|stationTriplet=919:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (536505.8043217433 269092.79990893067),536505.8043217433,269092.79990893067
SNOTEL:433_MT_SNTL,433_MT_SNTL,Daly Creek,SNOTEL,1761,"{'county': 'Ravalli', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1966 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102050901|HUD=17010205|TimeZone=-8.0|actonId=13C39S|shefId=DALM8|stationTriplet=433:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}",POINT (264238.59471415094 224216.84294975494),264238.59471415094,224216.84294975494
